# -----------------------------------------------------------------------------
# TMdock - docking by full/partial structure alignment                V20160511
#										
# -----------------------------------------------------------------------------
#               Date / time : 2023:06:21 / 14:01:15
#       Number of templates : 12470
#            Alignment type : FSA
#                 Fast mode : on
#         Benchmarking mode : off
#     TMScore Normalized by : Length of the target
# -----------------------------------------------------------------------------
#
# Label                Score    TM-score1    TM-score2    FSC-score      iSeqID1      iSeqID2        dSASA         d_av       AACE18        SolEM     trgtLen1     trgtLen2    tmpltLen1    tmpltLen2      aliLen1      aliLen2         t[0]         t[1]         t[2]      u[0][0]      u[0][1]      u[0][2]      u[1][0]      u[1][1]      u[1][2]      u[2][0]      u[2][1]      u[2][2]
#
6p4bH1C1_12      1.08096e-02  3.96380e-01  3.27464e-01  2.17778e-01  4.00000e-01  5.88235e-02  8.79918e-02  1.11842e-01  3.10083e-01  2.28556e-01  2.93000e+02  7.10000e+01  2.05000e+02  1.29000e+02  1.73000e+02  6.30000e+01  1.26166e+01 -2.42977e+01 -8.01210e+00  2.37553e-01 -2.54237e-01 -9.37514e-01 -9.69262e-01 -1.25660e-01 -2.11521e-01 -6.40316e-02  9.58944e-01 -2.76273e-01
6itqA1C1_12      1.03715e-02  3.71993e-01  3.06045e-01  2.72439e-01  7.03125e-01  6.66667e-02  7.07665e-04  0.00000e+00  1.68638e-01  2.05581e-02  2.93000e+02  7.10000e+01  1.22000e+02  1.25000e+02  1.13000e+02  6.60000e+01  1.97941e+01  1.03881e+01 -2.05689e+01  2.59966e-01  7.00336e-01 -6.64791e-01  7.51408e-01  2.85678e-01  5.94790e-01  6.06469e-01 -6.54154e-01 -4.51971e-01
1o800A0B_21      1.00633e-02  1.33679e-01  7.59325e-01  2.39890e-01  4.83871e-02  2.50000e-01  8.00226e-01  4.62789e-01  1.58255e-02  6.43499e-01  2.93000e+02  7.10000e+01  7.10000e+01  7.40000e+01  6.50000e+01  7.00000e+01 -2.01497e+01 -6.24373e+00  8.58272e+00 -5.12674e-02 -9.34842e-01  3.51343e-01  8.74357e-01 -2.12009e-01 -4.36522e-01  4.82567e-01  2.84820e-01  8.28255e-01
5xxyH1A1_12      9.88394e-03  4.14821e-01  3.02156e-01  2.81250e-01  6.20000e-01  7.14286e-02  7.97005e-02  1.17162e-01  2.05211e-01  1.59830e-01  2.93000e+02  7.10000e+01  2.08000e+02  9.90000e+01  1.79000e+02  5.00000e+01  1.31019e+01 -1.54906e+01 -1.49850e+01  6.81817e-01  3.59922e-01  6.36854e-01  4.77337e-01 -8.78601e-01 -1.44919e-02  5.54324e-01  3.13875e-01 -7.70849e-01
6lfoD1R1_21      9.79037e-03  2.30234e-01  7.28608e-01  2.00799e-01  4.30108e-02  1.00000e+00  8.74893e-03  9.66468e-02  1.53724e-01  8.38308e-02  2.93000e+02  7.10000e+01  3.07000e+02  6.40000e+01  2.02000e+02  6.40000e+01  3.15476e+01  2.78406e+00  3.01522e+01 -7.21761e-01 -6.56241e-01 -2.20020e-01 -9.50022e-02 -2.20946e-01  9.70648e-01 -6.85591e-01  7.21479e-01  9.71256e-02
3eba1A1B_12      9.77127e-03  3.76943e-01  3.36283e-01  2.23077e-01  4.47368e-01  2.94118e-02  3.22239e-02  7.19362e-02  2.79621e-01  1.70131e-01  2.93000e+02  7.10000e+01  1.21000e+02  1.30000e+02  1.14000e+02  6.10000e+01  1.35815e+01 -2.39942e+01 -9.86336e+00  6.85694e-01  1.89241e-01  7.02859e-01 -5.41320e-01  7.78120e-01  3.18595e-01 -4.86617e-01 -5.98930e-01  6.35992e-01
3vrlH1C1_12      9.39325e-03  4.06270e-01  2.74480e-01  2.39329e-01  7.14286e-01  1.08108e-01  1.54845e-03  0.00000e+00  1.67400e-01  4.76989e-02  2.93000e+02  7.10000e+01  2.22000e+02  7.30000e+01  1.81000e+02  5.10000e+01  1.01943e+01 -1.39821e+01 -2.69457e+01 -9.40582e-02  8.23512e-01 -5.59447e-01 -9.39631e-01 -2.59137e-01 -2.23475e-01 -3.29008e-01  5.04655e-01  7.98171e-01
3noi1A2B_12      9.18956e-03  3.17565e-01  3.17143e-01  3.34566e-01  2.14286e-01  7.54717e-02  2.57676e-02  1.05276e-02  1.28550e-01  5.36604e-02  2.93000e+02  7.10000e+01  1.19000e+02  1.20000e+02  1.06000e+02  5.90000e+01 -2.63194e+01 -7.18119e+00 -4.25289e+00  4.31488e-01 -8.86847e-01 -1.65288e-01 -8.91448e-01 -4.47263e-01  7.26324e-02 -1.38341e-01  1.16006e-01 -9.83567e-01
4hlzD1J1_21      9.08336e-03  3.77016e-01  3.39768e-01  2.10630e-01  5.55556e-01  2.22222e-01  3.65968e-04  0.00000e+00  1.87222e-01  4.04609e-02  2.93000e+02  7.10000e+01  2.12000e+02  1.70000e+02  1.45000e+02  4.10000e+01  1.04964e+01 -2.94127e+01  6.86029e-01  1.02430e-01 -9.80624e-01  1.66990e-01 -7.91217e-01  2.14287e-02  6.11159e-01 -6.02896e-01 -1.94726e-01 -7.73692e-01
3noi1A2B_21      8.87963e-03  3.15362e-01  3.15686e-01  3.26661e-01  1.88406e-01  6.00000e-02  3.08652e-02  1.00371e-02  1.30335e-01  6.35156e-02  2.93000e+02  7.10000e+01  1.20000e+02  1.19000e+02  1.06000e+02  5.80000e+01 -2.61495e+01 -5.82465e+00 -4.91404e+00  3.97114e-01 -9.10343e-01 -1.16518e-01 -9.04486e-01 -4.09721e-01  1.18462e-01 -1.55581e-01  5.83463e-02 -9.86098e-01
6u9sA1C1_12      8.42941e-03  3.86484e-01  2.67242e-01  2.13859e-01  4.11765e-01  5.12821e-02  2.14551e-02  1.38012e-02  2.34057e-01  1.01738e-01  2.93000e+02  7.10000e+01  2.21000e+02  9.20000e+01  2.19000e+02  5.40000e+01  1.19355e+01 -2.35088e+01  1.09821e+00 -5.90029e-01  5.67208e-01 -5.74579e-01 -4.52874e-01  3.56655e-01  8.17131e-01  6.68410e-01  7.42342e-01  4.64372e-02
1nby0A0C_12      8.35487e-03  3.70562e-01  3.25279e-01  1.32400e-01  7.25000e-01  6.06061e-02  8.16835e-02  1.37272e-01  3.93526e-01  2.14208e-01  2.93000e+02  7.10000e+01  2.14000e+02  1.29000e+02  1.45000e+02  6.70000e+01  1.32137e+01 -2.45768e+01 -6.92245e+00  2.34886e-01 -2.83002e-01 -9.29913e-01 -9.70404e-01 -1.23469e-01 -2.07538e-01 -5.60817e-02  9.51139e-01 -3.03627e-01
5vjqB1I1_12      8.14932e-03  3.77116e-01  3.31303e-01  1.27148e-01  6.75000e-01  6.25000e-02  4.15829e-02  6.94409e-02  3.28968e-01  1.62353e-01  2.93000e+02  7.10000e+01  2.12000e+02  1.29000e+02  1.45000e+02  6.70000e+01  1.28175e+01 -2.51373e+01 -9.00836e+00  1.81768e-01 -2.31211e-01 -9.55773e-01 -9.63572e-01 -2.35795e-01 -1.26210e-01 -1.96185e-01  9.43897e-01 -2.65648e-01
6gwpA1B1_21      7.74113e-03  3.82842e-01  3.96271e-01  3.13860e-01  1.00000e+00  1.81818e-01  7.87329e-02  2.27473e-01  1.60578e-01  1.64225e-01  2.93000e+02  7.10000e+01  1.15000e+02  3.68000e+02  1.15000e+02  6.80000e+01  1.73876e+01 -2.05555e+01 -1.15276e+01 -5.92577e-01 -6.72565e-01 -4.43293e-01  6.65008e-01 -7.19017e-01  2.01937e-01 -4.54551e-01 -1.75130e-01  8.73334e-01
1icw0A0B_12      7.55274e-03  1.34273e-01  8.61969e-01  2.75370e-01  4.83871e-02  9.66667e-01  5.91506e-01  4.76556e-01  3.91180e-03  3.97011e-01  2.93000e+02  7.10000e+01  6.90000e+01  6.60000e+01  6.90000e+01  6.60000e+01 -1.98903e+01 -3.28955e+00  4.64716e+00  4.09112e-02 -9.82744e-01  1.80391e-01  9.93060e-01  2.00698e-02 -1.15881e-01  1.10261e-01  1.83880e-01  9.76745e-01
4j4fB1A1_12      7.46914e-03  1.40646e-01  3.62666e-01  2.31794e-01  1.01449e-01  5.55556e-02  7.22649e-01  3.00401e-01  2.86655e-03  6.75319e-01  2.93000e+02  7.10000e+01  1.01000e+02  1.01000e+02  6.90000e+01  5.40000e+01 -2.32090e+01  1.19283e+00  2.18273e+01 -4.92945e-01  6.51014e-01  5.77223e-01  5.15734e-01  7.52946e-01 -4.08767e-01 -7.00730e-01  9.61938e-02 -7.06911e-01
1u4r0A0B_21      7.42594e-03  1.30739e-01  6.27725e-01  8.38661e-02  3.92157e-02  1.50943e-01  9.28601e-01  4.13149e-01  0.00000e+00  8.32008e-01  2.93000e+02  7.10000e+01  6.80000e+01  6.20000e+01  6.70000e+01  6.20000e+01 -5.45835e+00  1.08146e+01 -1.24734e+01 -8.34985e-02 -8.95293e-01  4.37583e-01 -9.62377e-01 -4.14917e-02 -2.68530e-01  2.58569e-01 -4.43542e-01 -8.58145e-01
3kr31D1H_21      7.32574e-03  4.24098e-01  2.91607e-01  1.74551e-01  7.33333e-01  0.00000e+00  1.48363e-01  1.86083e-01  2.98510e-01  2.58293e-01  2.93000e+02  7.10000e+01  2.18000e+02  6.00000e+01  1.80000e+02  4.30000e+01  5.78754e+00 -1.91173e+01 -9.88651e+00 -2.93239e-01  8.77790e-01  3.78807e-01 -4.32151e-01 -4.75138e-01  7.66479e-01  8.52793e-01  6.10597e-02  5.18667e-01
6wrzA1B1_12      7.14580e-03  2.63777e-01  3.27624e-01  1.53567e-01  7.27273e-02  2.38095e-02  3.83643e-01  1.59850e-01  2.30990e-01  3.52936e-01  2.93000e+02  7.10000e+01  2.99000e+02  1.18000e+02  1.68000e+02  6.60000e+01  1.17661e+01 -1.86330e+01  1.37061e-01  5.06082e-01  4.61549e-01  7.28597e-01  2.15012e-01 -8.85608e-01  4.11665e-01  8.35255e-01 -5.16792e-02 -5.47429e-01
3n521A1B_12      6.92946e-03  1.12357e-01  7.31674e-01  1.47790e-01  1.33333e-01  4.60317e-01  9.48405e-01  5.79557e-01  5.00557e-07  9.15075e-01  2.93000e+02  7.10000e+01  6.70000e+01  7.10000e+01  6.50000e+01  6.80000e+01  4.35911e+00  1.43454e+00  6.09042e+00  9.59376e-01 -1.78029e-01 -2.18869e-01 -2.48005e-01 -1.62312e-01 -9.55065e-01  1.34504e-01  9.70547e-01 -1.99870e-01
6w0aB2C2_12      6.81447e-03  3.81455e-01  3.36798e-01  2.15000e-01  5.80645e-01  4.34783e-02  1.60584e-05  0.00000e+00  1.35822e-01  1.24598e-02  2.93000e+02  7.10000e+01  2.12000e+02  9.30000e+01  1.38000e+02  4.90000e+01  2.95768e+00 -1.82953e+01 -2.49134e+01 -8.85736e-01 -6.68476e-02  4.59352e-01  2.46180e-01  7.71299e-01  5.86936e-01 -3.93533e-01  6.32953e-01 -6.66710e-01
7bwkA1C1_12      6.75794e-03  1.22254e-01  4.14831e-01  1.20670e-01  9.89011e-02  1.33333e-01  8.22245e-01  3.12898e-01  0.00000e+00  7.81505e-01  2.93000e+02  7.10000e+01  1.13000e+02  1.49000e+02  9.80000e+01  5.50000e+01 -7.35088e+00  1.15251e+01  2.47940e+01  3.26058e-01 -7.28715e-01  6.02213e-01  3.93834e-01 -4.74406e-01 -7.87295e-01  8.59408e-01  4.93876e-01  1.32308e-01
5xxyL1A1_12      6.74802e-03  3.83198e-01  3.02156e-01  1.49383e-01  6.06061e-01  1.00000e-01  1.04001e-01  1.16827e-01  2.78895e-01  2.01420e-01  2.93000e+02  7.10000e+01  2.11000e+02  9.90000e+01  1.38000e+02  5.00000e+01  1.51452e+01 -1.44204e+01 -1.45316e+01  6.23803e-01  3.63184e-01  6.92075e-01  4.68028e-01 -8.82744e-01  4.13841e-02  6.25955e-01  2.98095e-01 -7.20638e-01
5o04A1E1_21      6.62629e-03  3.66066e-01  3.28119e-01  1.75573e-01  9.09091e-01  0.00000e+00  1.72903e-13  0.00000e+00  1.60250e-01  1.35600e-02  2.93000e+02  7.10000e+01  1.12000e+02  3.08000e+02  1.12000e+02  6.80000e+01  2.75703e+01 -2.29406e+01 -1.85610e+01  3.57198e-01  8.42547e-01 -4.03143e-01  7.83153e-01 -3.49549e-02  6.20845e-01  5.09000e-01 -5.37487e-01 -6.72329e-01
6pdqB1E1_21      6.61388e-03  1.50399e-01  2.79603e-01  1.21285e-01  1.72414e-02  5.88235e-02  7.87669e-01  2.35500e-01  2.70040e-06  7.47529e-01  2.93000e+02  7.10000e+01  8.50000e+01  8.70000e+01  7.30000e+01  4.30000e+01 -1.29257e+01  1.03867e+01  8.25614e+00  1.56985e-01  9.73534e-01  1.66092e-01  1.33646e-01  1.45689e-01 -9.80262e-01 -9.78516e-01  1.76084e-01 -1.07238e-01
6n81A1C1_21      6.57414e-03  4.18702e-01  3.23219e-01  1.59574e-01  7.50000e-01  8.00000e-02  3.35633e-09  0.00000e+00  1.59799e-01  1.52603e-02  2.93000e+02  7.10000e+01  2.17000e+02  3.06000e+02  1.78000e+02  6.40000e+01  2.73421e+01 -4.59091e+00 -2.99066e+01  2.45269e-01  9.66958e-01 -6.95371e-02 -2.88554e-01  1.41292e-01  9.46981e-01  9.25516e-01 -2.12200e-01  3.13674e-01
1icw0A0B_21      6.46014e-03  1.30357e-01  8.01608e-01  2.29531e-01  3.44828e-02  9.67742e-01  7.03734e-01  4.97998e-01  0.00000e+00  4.51036e-01  2.93000e+02  7.10000e+01  6.60000e+01  6.90000e+01  6.50000e+01  6.90000e+01 -1.93269e+01 -5.82681e+00  6.26289e+00 -1.05017e-01 -9.51189e-01  2.90191e-01  9.88693e-01 -1.31271e-01 -7.24827e-02  1.07038e-01  2.79298e-01  9.54220e-01
2j4w1D1H_21      6.37927e-03  4.20283e-01  2.38758e-01  1.66884e-01  4.26966e-01  1.11111e-01  4.63014e-01  3.78178e-01  3.26882e-01  4.78744e-01  2.93000e+02  7.10000e+01  2.25000e+02  3.40000e+01  1.83000e+02  3.30000e+01  7.90773e+00 -1.77729e+01 -6.40069e+00  5.41590e-01 -3.57303e-01 -7.60930e-01  6.37302e-01 -4.15773e-01  6.48829e-01 -5.48202e-01 -8.36342e-01  2.53111e-03
6o23C1E1_12      6.36170e-03  4.01876e-01  8.66913e-02  2.04403e-01  6.90476e-01  7.69231e-02  2.08648e-01  1.72003e-01  2.43818e-01  3.70249e-01  2.93000e+02  7.10000e+01  2.19000e+02  1.80000e+01  2.12000e+02  1.30000e+01  1.00404e+01 -1.77536e+01 -1.56443e+01  1.09106e-01 -9.50953e-01  2.89456e-01 -3.17101e-01  2.42683e-01  9.16816e-01 -9.42095e-01 -1.91817e-01 -2.75069e-01
1i850A0B_12      6.31426e-03  3.06404e-01  2.82972e-01  3.34433e-01  1.57895e-01  9.52381e-02  1.70477e-02  5.26896e-02  1.25711e-01  9.02750e-02  2.93000e+02  7.10000e+01  1.10000e+02  1.09000e+02  1.02000e+02  6.00000e+01  1.75928e+01  5.67816e+00 -2.44412e+01 -1.07849e-01  6.64193e-01 -7.39740e-01 -7.39878e-01 -5.50621e-01 -3.86519e-01 -6.64040e-01  5.05632e-01  5.50806e-01
4jm7A1B1_21      6.27409e-03  1.87556e-01  2.85960e-01  1.36617e-01  7.27273e-02  2.77778e-02  7.39506e-01  2.45857e-01  5.12041e-04  7.12639e-01  2.93000e+02  7.10000e+01  1.16000e+02  1.22000e+02  1.05000e+02  5.60000e+01 -7.22082e+00  1.48917e+01  5.19968e+00  2.01280e-01 -2.95822e-01  9.33797e-01 -6.11929e-01 -7.82368e-01 -1.15949e-01  7.64873e-01 -5.48079e-01 -3.38496e-01
6kn9A1D1_21      6.27169e-03  6.91495e-01  2.81713e-01  3.99680e-02  8.00000e-01  4.16667e-02  8.13048e-08  0.00000e+00  1.60467e-01  1.75478e-02  2.93000e+02  7.10000e+01  2.20000e+02  2.60000e+02  2.12000e+02  6.30000e+01  2.99509e+01 -1.55471e+01 -7.37312e+00 -5.54514e-01  3.96178e-01 -7.31818e-01 -6.90773e-01 -7.09526e-01  1.39303e-01 -4.64056e-01  5.82765e-01  6.67111e-01
6gwnA1B1_21      6.26294e-03  3.83426e-01  3.90142e-01  3.02095e-01  6.66667e-01  1.76471e-01  1.24087e-01  2.25865e-01  1.20342e-01  1.97708e-01  2.93000e+02  7.10000e+01  1.15000e+02  3.61000e+02  1.15000e+02  6.90000e+01  1.66156e+01 -2.09279e+01 -1.26571e+01 -5.28223e-01 -7.35835e-01 -4.23706e-01  7.84945e-01 -6.13455e-01  8.67969e-02 -3.23793e-01 -2.86738e-01  9.01631e-01
1u6g0A0C_21      6.15922e-03  2.95575e-01  3.36232e-01  3.21320e-02  7.40741e-02  6.66667e-02  6.36976e-01  1.34367e-01  1.43713e-05  5.41275e-01  2.93000e+02  7.10000e+01  1.14600e+03  7.15000e+02  2.28000e+02  5.80000e+01 -7.66596e+00  1.04291e+01  3.06475e+01 -1.86485e-01 -8.04446e-01  5.63995e-01  7.13943e-01 -5.05325e-01 -4.84697e-01  6.74914e-01  3.12272e-01  6.68564e-01
4j4eA1B1_12      5.91122e-03  1.32843e-01  3.58254e-01  2.27188e-01  5.97015e-02  7.40741e-02  6.87248e-01  3.03494e-01  4.14937e-07  6.54691e-01  2.93000e+02  7.10000e+01  1.01000e+02  1.01000e+02  6.70000e+01  5.40000e+01 -2.39682e+01  1.38075e+00  2.39987e+01 -6.19898e-01  6.09269e-01  4.94488e-01  4.40567e-01  7.91716e-01 -4.23187e-01 -6.49328e-01 -4.44773e-02 -7.59206e-01
5ob5A1H1_21      5.87929e-03  4.13723e-01  7.23937e-01  3.08605e-01  4.84375e-01  5.65217e-01  5.84919e-02  3.93290e-01  1.58025e-01  1.82628e-01  2.93000e+02  7.10000e+01  2.20000e+02  6.30000e+01  1.85000e+02  6.30000e+01  9.46732e+00 -3.00727e+01 -7.56044e+00 -3.50704e-01 -4.01025e-01  8.46277e-01  9.36484e-01 -1.48313e-01  3.17805e-01 -1.93399e-03  9.03981e-01  4.27568e-01
3k9h1A1B_12      5.81714e-03  2.23755e-01  3.29986e-01  7.56214e-02  5.88235e-02  2.50000e-02  4.46306e-01  1.52395e-01  1.75146e-01  5.25981e-01  2.93000e+02  7.10000e+01  2.29000e+02  2.29000e+02  1.42000e+02  5.60000e+01 -1.16635e+01  2.67576e+01 -2.84695e+00  3.93003e-01  1.15445e-01  9.12262e-01 -7.41414e-01 -5.47057e-01  3.88631e-01  5.43925e-01 -8.29096e-01 -1.29402e-01
1h8s0A0B_12      5.79953e-03  6.15532e-01  3.50750e-01  8.25893e-02  2.81690e-01  8.33333e-02  3.09402e-07  0.00000e+00  1.58815e-01  4.81015e-03  2.93000e+02  7.10000e+01  2.18000e+02  2.18000e+02  2.08000e+02  7.00000e+01  3.02951e+01  2.17350e+01 -1.80875e+01  5.48239e-01  6.75767e-01  4.92720e-01  3.30981e-01 -7.16366e-01  6.14224e-01  7.68040e-01 -1.73661e-01 -6.16406e-01
2vwe1A1E_21      5.78327e-03  4.04459e-01  2.17292e-01  2.69461e-01  4.00000e-01  7.69231e-02  8.01042e-03  6.34645e-02  1.87381e-01  5.00537e-02  2.93000e+02  7.10000e+01  2.19000e+02  9.70000e+01  1.85000e+02  5.30000e+01  3.38703e+01 -9.93679e+00 -2.19605e+00 -7.82823e-01 -3.54764e-01 -5.11206e-01 -5.77110e-01  7.21128e-01  3.83299e-01  2.32665e-01  5.95077e-01 -7.69253e-01
6s99A1B1_12      5.74968e-03  1.60849e-01  3.23500e-01  1.30455e-01  5.47945e-02  6.25000e-02  7.25679e-01  2.42066e-01  2.54833e-02  6.14992e-01  2.93000e+02  7.10000e+01  1.05000e+02  1.05000e+02  1.01000e+02  5.70000e+01  6.78276e+00  1.00922e+01  1.16013e+01 -5.47855e-01 -8.30355e-01  1.01809e-01  2.35146e-01 -3.60563e-02  9.71291e-01 -8.02846e-01  5.56066e-01  2.15008e-01
6p59C1F1_12      5.68520e-03  2.51055e-01  4.44991e-01  1.85752e-01  6.03448e-02  7.46269e-02  7.64110e-01  3.40183e-01  0.00000e+00  4.61993e-01  2.93000e+02  7.10000e+01  1.55000e+02  1.91000e+02  1.34000e+02  6.70000e+01  2.15760e+00  2.26763e-01  2.11402e+01  3.18245e-02 -6.16077e-01  7.87043e-01 -6.11727e-01  6.10726e-01  5.02796e-01 -7.90428e-01 -4.97457e-01 -3.57435e-01
6jjpA1C1_12      5.59809e-03  4.09519e-01  3.17682e-01  1.54050e-01  6.72727e-01  0.00000e+00  6.72008e-03  4.41244e-02  2.18964e-01  4.10839e-02  2.93000e+02  7.10000e+01  2.20000e+02  1.17000e+02  1.65000e+02  6.40000e+01  1.19087e+01 -2.56695e+01 -1.62333e+00 -4.10639e-01 -5.33209e-01  7.39638e-01  1.58643e-01  7.57033e-01  6.33825e-01 -8.97891e-01  3.77611e-01 -2.26277e-01
6w0iB1C1_12      5.58807e-03  3.82180e-01  2.77299e-01  1.91686e-01  6.25000e-01  8.69565e-02  4.51259e-06  0.00000e+00  1.43802e-01  1.23499e-02  2.93000e+02  7.10000e+01  2.12000e+02  1.03000e+02  1.38000e+02  4.90000e+01  3.06383e+00 -1.71861e+01 -2.48054e+01 -8.68213e-01  2.36411e-01  4.36253e-01  4.80685e-01  6.18813e-01  6.21299e-01 -1.23077e-01  7.49120e-01 -6.50901e-01
6l3qA1B1_12      5.56314e-03  1.51568e-01  4.24382e-01  7.71010e-02  8.47458e-02  6.66667e-02  7.17887e-01  2.55503e-01  2.76630e-06  7.35206e-01  2.93000e+02  7.10000e+01  1.22000e+02  1.29000e+02  9.60000e+01  5.00000e+01 -2.62128e+00  8.49513e+00  1.09436e+01  9.14922e-01 -3.53134e-01 -1.95485e-01 -1.07533e-01  2.53559e-01 -9.61324e-01  3.89043e-01  9.00558e-01  1.94013e-01
1v6z0A0B_21      5.48223e-03  2.09393e-01  3.23665e-01  7.89016e-02  5.88235e-02  1.78571e-02  6.10971e-01  1.65210e-01  4.75852e-03  6.42018e-01  2.93000e+02  7.10000e+01  2.24000e+02  2.26000e+02  1.74000e+02  6.20000e+01  7.05472e+00  1.99807e+00  1.81610e+01  7.96682e-01  5.35369e-01 -2.80496e-01  5.62048e-01 -8.26907e-01  1.80900e-02 -2.22259e-01 -1.72064e-01 -9.59685e-01
